Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Trainee Engineer- S&B,https://jobs.bdjobs.com/jobdetails.asp?id=1351959&fcatId=5&ln=1,YKK Bangladesh Pte Ltd.,Savar EPZ,Diploma in ElectricalDiploma in MechanicalDiploma in Mechanical/Electrical Engineering.,Na,22-Apr-25,"Basic computer knowledge & English language proficiency. Production Card receive, production schedule make.

Process check

Production & Delay follow up.

Daily production plan, utilize man machine, method, material & time.

Daily requisition of material and arrange for delivery.

Give completion entry of PR card.

Quality control and also follow up QC process & modify if required.

M/C operation control & RM adjustment.

Delay & Remake follow up & analysis.

Internal & External claim handle & root cause analysis.

5S & Safety control.

RAW & Sub-material FIFO maintain.

Training & Feedback maintain and communicate with other section for S&B issues.

Manpower handling, duty roaster make & maintain daily documentation.

Supervise worker’s activity & Machine Maintenance, TPM.

Machine parts control & KYT & M/C risk assessment.

Yearly evaluation of Operator & confirmation of new employee.

Identify the safety risk of machine or materials and taken action.

Daily check and ensure good 5s in production, monthly & QMS data update in display board.

Willing to do shifting duty & support to shift production management.

IMS (Information Management System), ISMS (Information Security Management System) documentation update.

Willing to do OT if required.

Any other task assign by the department manager."
Assistant Manager-HVAC Sales,https://jobs.bdjobs.com/jobdetails.asp?id=1352004&fcatId=5&ln=1,Audity Industrial Solution Limited,Mirpur 10,Bachelor in Engineering (BEngg)Bachelor of Business Administration (BBA),3 to 5 year(s),22-Apr-25,"Communication and negotiation skills
Corporate Marketing
HVAC
Strong analytical and problem solving ability
Strong Convincing Negotiation Skills"
Machine Technicians (Operation and Maintenance),https://jobs.bdjobs.com/jobdetails.asp?id=1351973&fcatId=5&ln=1,Taiji international Ltd,"Dhaka, Savar, Ashulia",Bachelor in Engineering (BEngg) in Mechanical EngineeringDiploma in EngineeringB. SC...,At least 5 year(s),22-Apr-25,"Age 25 to 30 years
The applicants should have experience in the following business area(s): Electronics and innovative product manufacturing Industry.

Brief knowledge in INJECTION MACHINE , MOULDING MACHINE , COOLING TOWER , TAPPING MACHINE, ARC CHUTE MACHINE, VIBRATINNG FEEDER MACHINE, PUNCH MACHINE, ASSEMBLY LINE, LATHE MACHINE, MILLING MACHINE, PAINTING PRODUCTION LINE, ELECTROPLATING PRODUCTION LINE, CHROMING, TERMINAL PRODUCTION LINE, AUTOMATIC SPRAY PAINT MACHINE, CUTTING MACHINE, THREAD ROLLING MACHINE, COLD FORMING MAHINE, DRYER, AIR COMPRESSOR, HEAT TREATMENT PRODUCTION LINE, EDM MACHINE, MCB TESTING MACHINE, PRINTING MACHINE, NAIL THREADING MACHINE, RIVETING MACHINE, AUTOMATIC MOMENTARY MACHINE, BOILER, GENERATOR. Ensure good maintenance planning and execution with proper auditing.

Responsible for reducing downtime and mean time between breakdowns (MTBB).

Prepare daily, weekly, monthly, quarterly, and yearly maintenance reports and perform activities as per the maintenance schedule of factory operations.

Prepare spare parts lists (local and foreign) and ensure that spares/consumables are maintained at optimum stock levels.

Responsible for ensuring better and smooth operation of all machineries in the factory, by maintaining proper maintenance.

Monitor machine conditions with vibration analysis.

Ensure immediate and prompt response to emergency calls for all mechanical troubleshooting of factory operations.

Train and provide guidelines to subordinates to improve their skills, productivity, and efficiency.

Prepare equipment history cards."
Manager Quality Control,https://jobs.bdjobs.com/jobdetails.asp?id=1351944&fcatId=5&ln=1,Taiji international Ltd,"Dhaka, Savar, Ashulia",Bachelor in Engineering (BEngg) in Electrical & Electronic EngineeringBachelor of Science...,At least 5 year(s),22-Apr-25,"Age 30 to 35 years
The applicants should have experience in the following business area(s): Electrical appliance manufacturing

Excellent Follow up skill on quality, production and wastage.

Proper development of new plan to establish and implementation of extra good quality product.

Problem solving skill

Root cause analysis

Leadership  Full responsibility for quality and production function within the location through the entire manufacturing process including incoming, in the process, section-wise, finished goods inspection, and testing.

Maintains and improves product and operation quality by monitoring product requirements, SOP, compliance, and technical support for the factory.

Develops and analyzes statistical data and product specifications to determine present standards and establish proposed quality and reliability expectancy of the finished product Develops and maintains quality assurance and control objectives and coordinates objectives with production procedures in cooperation with the Production Department and other supporting departments.

Develop a plan, promote, facilitate, and organizes training activities for all respective persons related to product quality and reliability.

Responsible for buyers any quality inspection failing; final inspection, in-process/inline quality audit, and inspection.

Responsible for customer (buyer) quality claim and giving on-time customer feedback in any quality issue.

Responsible for all Technical Audit and implementation of customer technical requirements.

Should have knowledge of all aspects of quality control methods and practices including AQL levels and other prevailing international standards.

Implement QC tools, lean manufacturing, and quality visualization.

Responsible for recycle material handling.

All types of claimed material will be followed according to quality management plan.

"
Civil Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351534&fcatId=5&ln=1,Fame Group.,Narayanganj,Bachelor’s Degree in Civil Engineering from a recognized institution.,At least 5 year(s),21-Apr-25,"AutoCAD
Civil 3D
Civil Construction
Civil Engineering"
Fire Planner,https://jobs.bdjobs.com/jobdetails.asp?id=1351205&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic EngineeringProfessional Engineer (PE) license...,5 to 10 year(s),19-Apr-25,"Age at least 35 years
Strong problem-solving skills and attention to detail.

Ability to work under presure. Develop fire safety plans and emergency response strategies for tunnels, and bridges.

Ensure compliance with fire codes, safety regulations, and national standards.

Design and implement fire suppression systems, emergency exits, and fire-resistant materials.

Conduct risk assessments to identify potential fire hazards in tunnels & rest areas.

Collaborate with civil engineers, electrical engineers, and emergency services to integrate fire safety measures.

Plan and oversee the installation of fire detection systems, smoke ventilation, and emergency lighting in tunnels and underpasses.

Train road maintenance teams and emergency responders on fire safety procedures and evacuation protocols.

Perform site inspections and audits to ensure the effectiveness of fire prevention systems.

Recommend improvements to fire safety designs based on new technologies and best practices."
Plumber Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351506&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Diploma in CivilBachelor of Science (BSc) in Civil Engineering,At least 10 year(s),21-Apr-25,"Industrial Plumbing
Pipefitting and Plumbing
Plumbing BOQ
Plumbing Design"
Environmental Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351202&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor in Engineering (BEngg)Professional Engineer (PE) license is highly desirable.,5 to 10 year(s),19-Apr-25,"Autocad 2D 3D
Project Management"
Architecture Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351189&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor of Science (BSc) in Architecture,At least 7 year(s),19-Apr-25,"Auto CAD 2D 3D
GIS/ Mapping
Project Management"
Road & Highway Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351505&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor of Science (BSc) in Civil EngineeringMaster of Science (MSc) in Civil...,At least 5 year(s),21-Apr-25,"Auto CAD 2D 3D
GIS/ Mapping
Project Management"
Electrical Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351198&fcatId=5&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic Engineering,At least 7 year(s),19-Apr-25,"Auto CAD 2D 3D
Project Management"
